ID,Date,City,Area,Primary Type,Description,Location Description,Arrest,Domestic,Year,Latitude,Longitude
PK-2026337,06/30/2024 12:45:00 AM,Peshawar,Gulbahar,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2024,34.064816,71.546634
PK-2026338,07/24/2023 10:00:00 PM,Islamabad,Blue Area,THEFT,$500 AND UNDER,STREET,False,False,2023,33.63853,73.009673
PK-2026339,03/28/2025 08:30:00 AM,Karachi,Korangi,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,2025,24.869882,67.00412
PK-2026340,09/18/2021 07:42:03 PM,Islamabad,Sector F-11,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,True,False,2021,33.657287,73.072986
PK-2026341,11/26/2024 09:00:00 AM,Islamabad,I-8,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,2024,33.690901,73.000725
PK-2026342,12/03/2024 08:55:00 AM,Karachi,Malir,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",False,False,2024,24.87887,67.009177
PK-2026343,10/30/2023 03:55:00 PM,Lahore,Defence (DHA),BURGLARY,UNLAWFUL ENTRY,RESIDENCE,True,False,2023,31.589269,74.314388
PK-2026344,03/11/2025 01:00:00 PM,Lahore,Iqbal Town,ASSAULT,SIMPLE,RESIDENCE,False,True,2025,31.514471,74.399151
PK-2026345,04/09/2022 08:30:00 PM,Rawalpindi,Adiala Road,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,2022,33.506419,73.014925
PK-2026346,10/02/2021 08:35:23 PM,Rawalpindi,Westridge,BATTERY,AGGRAVATED: OTHER FIREARM,STREET,False,False,2021,33.521526,73.053619
PK-2026347,01/16/2024 07:00:00 PM,Karachi,Saddar,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2024,24.908702,67.007127
PK-2026348,11/01/2024 06:35:00 AM,Lahore,Gulberg,CRIMINAL DAMAGE,TO VEHICLE,OTHER RAILROAD PROP / TRAIN DEPOT,False,False,2024,31.594567,74.28881
PK-2026349,11/26/2021 06:00:00 PM,Rawalpindi,Peshawar Road,BATTERY,SIMPLE,RESIDENCE,False,True,2021,33.57679,73.032878
PK-2026350,10/28/2020 10:57:00 PM,Islamabad,Blue Area,BATTERY,SIMPLE,SMALL RETAIL STORE,False,False,2020,33.696462,73.102068
PK-2026351,11/20/2020 05:00:00 AM,Multan,Cantt,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2020,30.177304,71.537093
PK-2026352,01/03/2025 02:45:00 AM,Rawalpindi,Saddar,CRIMINAL TRESPASS,TO LAND,PARKING LOT/GARAGE(NON.RESID.),True,False,2025,33.526145,73.055203
PK-2026353,05/01/2025 08:05:00 PM,Karachi,Malir,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,False,True,2025,24.910429,67.047205
PK-2026354,04/22/2020 04:30:00 AM,Karachi,Clifton,BATTERY,SIMPLE,RESIDENCE,True,True,2020,24.850952,66.96847
PK-2026355,05/13/2024 02:00:00 AM,Rawalpindi,Westridge,BATTERY,SIMPLE,APARTMENT,True,True,2024,33.551077,72.982345
PK-2026356,03/28/2025 06:07:07 PM,Karachi,Clifton,BATTERY,SIMPLE,STREET,True,True,2025,24.86297,67.014418
PK-2026357,04/24/2021 01:00:00 PM,Rawalpindi,Adiala Road,THEFT,$500 AND UNDER,STREET,False,False,2021,33.510736,73.006223
PK-2026358,03/03/2023 04:35:00 PM,Quetta,Sariab Road,BATTERY,SIMPLE,CTA BUS,True,False,2023,30.139754,67.015783
PK-2026359,06/15/2021 11:25:00 AM,Rawalpindi,Saddar,NARCOTICS,ATTEMPT POSSESSION NARCOTICS,STREET,True,False,2021,33.593664,73.064903
PK-2026360,05/13/2021 05:34:32 PM,Lahore,Gulberg,NARCOTICS,POSS: HEROIN(WHITE),STREET,True,False,2021,31.499636,74.326011
PK-2026361,07/30/2020 07:25:00 AM,Rawalpindi,Satellite Town,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2020,33.577478,72.985324
PK-2026362,07/13/2022 05:00:00 PM,Lahore,Johar Town,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,2022,31.519142,74.377263
PK-2026363,03/05/2021 11:25:00 AM,Islamabad,Sector G-10,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,False,2021,33.671115,73.020877
PK-2026364,01/02/2022 12:50:00 PM,Quetta,Cantt,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,ALLEY,True,False,2022,30.154443,67.013714
PK-2026365,10/28/2024 08:20:00 AM,Lahore,Township,THEFT,$500 AND UNDER,OTHER,True,False,2024,31.532381,74.334449
PK-2026366,02/04/2021 11:00:00 AM,Quetta,Satellite Town,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,2021,30.206086,66.995106
PK-2026367,09/07/2024 11:30:00 PM,Hyderabad,Cantt,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,2024,25.371655,68.309264
PK-2026368,09/24/2022 01:00:00 AM,Karachi,Clifton,DECEPTIVE PRACTICE,FORGERY,BANK,False,False,2022,24.868669,67.015963
PK-2026369,11/11/2022 09:40:00 PM,Karachi,Saddar,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2022,24.857826,66.995312
PK-2026370,06/06/2024 10:30:00 PM,Karachi,Korangi,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,False,False,2024,24.880341,67.011493
PK-2026371,09/27/2023 04:00:00 PM,Karachi,Malir,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),False,False,2023,24.91312,66.961262
PK-2026372,10/20/2021 02:30:00 AM,Karachi,Saddar,BATTERY,SIMPLE,SIDEWALK,True,False,2021,24.888609,67.029525
PK-2026373,09/20/2020 09:15:00 AM,Peshawar,Charsadda Road,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,False,False,2020,33.980893,71.568436
PK-2026374,03/05/2025 10:25:00 PM,Karachi,North Nazimabad,THEFT,$500 AND UNDER,DRUG STORE,True,False,2025,24.804442,66.967109
PK-2026375,10/10/2022 12:10:00 AM,Lahore,Defence (DHA),BATTERY,AGGRAVATED: OTHER DANG WEAPON,APARTMENT,False,True,2022,31.521172,74.295086
PK-2026376,11/16/2023 12:01:00 AM,Multan,Cantt,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,APARTMENT,False,True,2023,30.168909,71.467737
PK-2026377,03/23/2025 08:30:00 PM,Karachi,Malir,THEFT,OVER $500,CONSTRUCTION SITE,False,False,2025,24.806871,67.018137
PK-2026378,09/23/2024 06:00:00 PM,Faisalabad,Susan Road,MOTOR VEHICLE THEFT,AUTOMOBILE,DRIVEWAY - RESIDENTIAL,False,False,2024,31.449964,73.147851
PK-2026379,08/28/2024 02:23:00 AM,Lahore,Shalimar,BURGLARY,FORCIBLE ENTRY,RESIDENCE,True,False,2024,31.561321,74.349204
PK-2026380,03/22/2023 03:00:00 PM,Karachi,Nazimabad,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,2023,24.840809,66.968934
PK-2026381,12/07/2024 07:45:00 AM,Peshawar,Gulbahar,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,2024,34.047609,71.511809
PK-2026382,06/12/2021 10:19:47 PM,Rawalpindi,Chaklala,BATTERY,SIMPLE,STREET,False,False,2021,33.517892,73.028237
PK-2026383,01/23/2024 06:40:00 PM,Multan,Gulgasht Colony,THEFT,$500 AND UNDER,GROCERY FOOD STORE,True,False,2024,30.106517,71.524512
PK-2026384,05/07/2021 07:45:00 PM,Peshawar,Gulbahar,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,2021,34.042483,71.583434
PK-2026385,11/15/2024 12:00:00 PM,Faisalabad,Jaranwala Road,DECEPTIVE PRACTICE,BOGUS CHECK,COMMERCIAL / BUSINESS OFFICE,False,False,2024,31.449859,73.091373
PK-2026386,12/09/2024 06:50:00 AM,Lahore,Model Town,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,CAR WASH,False,False,2024,31.572308,74.367017
PK-2026387,02/06/2020 02:30:00 PM,Karachi,Clifton,BATTERY,SIMPLE,OTHER,False,False,2020,24.852879,66.989618
PK-2026388,09/30/2023 10:25:00 PM,Peshawar,Charsadda Road,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,True,False,2023,33.984668,71.516284
PK-2026389,08/19/2021 02:00:00 AM,Faisalabad,Jaranwala Road,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2021,31.488692,73.161112
PK-2026390,05/01/2024 05:00:00 AM,Gujranwala,Satellite Town,CRIMINAL DAMAGE,TO VEHICLE,"SCHOOL, PUBLIC, BUILDING",False,False,2024,32.22363,74.217592
PK-2026391,04/28/2020 06:15:00 PM,Lahore,Iqbal Town,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),False,False,2020,31.573064,74.402551
PK-2026392,10/18/2021 05:15:00 PM,Lahore,Johar Town,THEFT,OVER $500,RESIDENCE,True,True,2021,31.522357,74.299007
PK-2026393,06/12/2021 10:58:59 PM,Faisalabad,D-Ground,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,False,False,2021,31.461228,73.087493
PK-2026394,04/27/2021 06:32:00 PM,Lahore,Gulberg,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA HALLWAY/STAIRWELL/ELEVATOR,True,False,2021,31.533017,74.370521
PK-2026395,03/01/2023 09:20:00 AM,Hyderabad,Cantt,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2023,25.34699,68.367206
PK-2026396,06/02/2024 12:00:00 AM,Multan,Cantt,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,False,False,2024,30.207578,71.497799
PK-2026397,02/13/2025 06:00:00 PM,Lahore,Samanabad,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),False,False,2025,31.506118,74.29313
PK-2026398,09/27/2020 08:00:00 PM,Peshawar,Cantt,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2020,34.069128,71.475179
PK-2026399,06/08/2024 01:48:50 PM,Peshawar,Cantt,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,2024,34.008621,71.572203
PK-2026400,02/01/2020 06:41:07 PM,Karachi,Landhi,ASSAULT,SIMPLE,SIDEWALK,False,False,2020,24.822916,66.964124
PK-2026401,12/23/2022 09:00:00 AM,Hyderabad,City Area,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,2022,25.401028,68.336605
PK-2026402,11/07/2025 12:00:00 AM,Islamabad,Blue Area,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,False,False,2025,33.729154,73.015099
PK-2026403,01/30/2024 04:35:00 PM,Faisalabad,Peoples Colony,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,2024,31.478267,73.1176
PK-2026404,12/02/2024 02:00:00 PM,Lahore,Defence (DHA),THEFT,OVER $500,STREET,False,False,2024,31.586487,74.291931
PK-2026405,02/20/2024 07:00:00 PM,Multan,Cantt,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),False,False,2024,30.176554,71.527187
PK-2026406,04/29/2023 01:00:00 AM,Lahore,Defence (DHA),BATTERY,SIMPLE,APARTMENT,False,True,2023,31.572773,74.291714
PK-2026407,02/25/2020 07:00:00 AM,Karachi,Defence (DHA),CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2020,24.902603,67.037143
PK-2026408,06/01/2024 03:30:00 AM,Hyderabad,City Area,THEFT,OVER $500,RESIDENCE,False,True,2024,25.36596,68.325845
PK-2026409,05/16/2020 07:34:46 PM,Karachi,Korangi,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,STREET,True,False,2020,24.859431,67.005901
PK-2026410,07/15/2021 02:40:00 AM,Lahore,Gulberg,BATTERY,SIMPLE,STREET,False,True,2021,31.516245,74.389209
PK-2026411,08/16/2021 12:00:00 AM,Quetta,Jinnah Town,BATTERY,SIMPLE,STREET,False,False,2021,30.23832,66.993105
PK-2026412,11/23/2022 01:20:00 AM,Quetta,Jinnah Town,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2022,30.233087,66.978955
PK-2026413,03/03/2020 08:30:00 AM,Rawalpindi,Peshawar Road,THEFT,$500 AND UNDER,STREET,False,False,2020,33.509831,72.99582
PK-2026414,08/25/2020 12:40:00 PM,Rawalpindi,Raja Bazaar,ROBBERY,AGGRAVATED,BANK,False,False,2020,33.589769,72.99686
PK-2026415,09/21/2024 03:20:00 PM,Lahore,Model Town,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CHA PARKING LOT/GROUNDS,True,False,2024,31.60073,74.363938
PK-2026416,02/01/2023 09:00:00 AM,Lahore,Gulberg,MOTOR VEHICLE THEFT,AUTOMOBILE,PARK PROPERTY,False,False,2023,31.511369,74.402897
PK-2026417,11/18/2024 09:42:26 AM,Lahore,Iqbal Town,BATTERY,SIMPLE,STREET,True,False,2024,31.557853,74.363021
PK-2026418,09/19/2020 08:53:00 PM,Peshawar,Gulbahar,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2020,34.064959,71.531834
PK-2026419,11/14/2020 04:13:27 PM,Peshawar,Saddar,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,2020,33.959174,71.552578
PK-2026420,03/07/2023 11:05:00 AM,Faisalabad,Madina Town,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",False,False,2023,31.47409,73.130825
PK-2026421,08/15/2022 07:23:27 PM,Faisalabad,Madina Town,ASSAULT,SIMPLE,GOVERNMENT BUILDING/PROPERTY,False,False,2022,31.426082,73.082217
PK-2026422,09/19/2024 09:30:00 PM,Karachi,Nazimabad,BATTERY,SIMPLE,APARTMENT,False,True,2024,24.911628,67.008576
PK-2026423,01/13/2024 02:20:10 PM,Islamabad,E-11,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,True,False,2024,33.740927,73.102815
PK-2026424,09/13/2024 10:45:00 PM,Karachi,Malir,BATTERY,SIMPLE,RESIDENCE,False,True,2024,24.914012,66.962136
PK-2026425,02/01/2024 07:39:00 PM,Islamabad,Bahria Town,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,True,False,2024,33.681306,73.070701
PK-2026426,07/20/2021 07:20:00 PM,Lahore,Shalimar,THEFT,OVER $500,DEPARTMENT STORE,False,False,2021,31.593145,74.307712
PK-2026427,12/11/2025 04:09:00 AM,Multan,Model Town,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,2025,30.198846,71.529199
PK-2026428,10/13/2022 10:30:00 PM,Lahore,Garden Town,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,2022,31.527992,74.295201
PK-2026429,07/17/2023 08:39:03 AM,Karachi,Gulshan-e-Iqbal,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,RESIDENCE-GARAGE,False,False,2023,24.90017,66.995145
PK-2026430,03/08/2024 08:30:00 AM,Karachi,Defence (DHA),THEFT,OVER $500,RESIDENCE-GARAGE,False,False,2024,24.805141,67.03184
PK-2026431,02/09/2024 10:51:11 PM,Faisalabad,Susan Road,ROBBERY,ARMED: HANDGUN,STREET,False,False,2024,31.461952,73.116709
PK-2026432,12/15/2023 06:28:14 PM,Rawalpindi,Chaklala,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE,True,False,2023,33.532701,73.036689
PK-2026433,06/25/2024 09:00:00 AM,Karachi,Korangi,THEFT,OVER $500,RESIDENCE-GARAGE,False,False,2024,24.815168,67.036554
PK-2026434,08/13/2021 10:59:21 PM,Karachi,Saddar,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),STREET,True,False,2021,24.809934,67.052361
PK-2026435,10/20/2025 08:00:00 AM,Peshawar,Ring Road,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,2025,34.038655,71.493057
PK-2026436,02/15/2024 04:45:00 PM,Karachi,Saddar,ASSAULT,SIMPLE,APARTMENT,False,False,2024,24.841485,66.989018
PK-2026437,05/06/2022 10:04:00 PM,Faisalabad,Susan Road,BATTERY,SIMPLE,SIDEWALK,True,False,2022,31.477372,73.09329
PK-2026438,04/14/2024 11:51:36 AM,Peshawar,Cantt,BATTERY,SIMPLE,RESIDENCE,False,True,2024,33.962943,71.583998
PK-2026439,03/21/2021 08:00:00 AM,Karachi,Malir,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,DEPARTMENT STORE,True,False,2021,24.838535,67.05234
PK-2026440,11/01/2023 11:16:00 AM,Karachi,Defence (DHA),ASSAULT,SIMPLE,APARTMENT,False,True,2023,24.865439,67.005895
PK-2026441,07/24/2021 12:05:00 PM,Gujranwala,Model Town,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,2021,32.222587,74.235544
PK-2026442,10/13/2023 09:00:00 PM,Lahore,Township,CRIMINAL DAMAGE,TO PROPERTY,STREET,False,False,2023,31.52795,74.346115
PK-2026443,08/24/2020 04:45:00 AM,Lahore,Faisal Town,CRIMINAL DAMAGE,TO PROPERTY,HOTEL/MOTEL,True,False,2020,31.564807,74.35843
PK-2026444,07/23/2023 11:00:00 AM,Faisalabad,Gulberg,ASSAULT,SIMPLE,STREET,False,False,2023,31.496717,73.085695
PK-2026445,03/18/2023 10:50:26 AM,Quetta,Cantt,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE,False,False,2023,30.193704,67.005632
PK-2026446,01/27/2022 07:50:00 PM,Gujranwala,Civil Lines,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,2022,32.155655,74.149826
PK-2026447,09/05/2020 06:50:00 PM,Peshawar,Saddar,ASSAULT,SIMPLE,APARTMENT,False,True,2020,33.958028,71.564028
PK-2026448,03/04/2025 08:50:00 AM,Lahore,Shalimar,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,OTHER,True,False,2025,31.594112,74.377443
PK-2026449,06/23/2021 11:00:00 PM,Karachi,Malir,THEFT,$500 AND UNDER,STREET,False,False,2021,24.803252,67.026149
PK-2026450,09/23/2023 09:16:33 AM,Faisalabad,Jaranwala Road,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,2023,31.495364,73.079339
PK-2026451,06/30/2020 12:55:00 AM,Islamabad,Blue Area,MOTOR VEHICLE THEFT,AUTOMOBILE,ALLEY,False,False,2020,33.687872,73.024275
PK-2026452,02/21/2021 10:00:00 PM,Lahore,Garden Town,BATTERY,SIMPLE,STREET,True,True,2021,31.602388,74.315174
PK-2026453,04/24/2025 09:00:47 AM,Hyderabad,Qasimabad,BATTERY,SIMPLE,STREET,False,False,2025,25.431854,68.341016
PK-2026454,03/06/2022 12:00:00 AM,Karachi,North Nazimabad,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,True,2022,24.920452,66.951617
PK-2026455,11/25/2020 01:45:00 PM,Islamabad,E-11,THEFT,$500 AND UNDER,STREET,False,False,2020,33.666485,73.100335
PK-2026456,11/22/2021 02:07:00 AM,Karachi,Defence (DHA),CRIMINAL DAMAGE,TO PROPERTY,FACTORY/MANUFACTURING BUILDING,True,False,2021,24.892763,67.007556
PK-2026457,08/20/2025 01:55:15 PM,Lahore,Johar Town,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,True,False,2025,31.537932,74.320263
PK-2026458,03/17/2025 10:56:00 PM,Karachi,Nazimabad,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,2025,24.858285,66.988738
PK-2026459,09/20/2025 10:00:00 AM,Karachi,Nazimabad,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,2025,24.876001,66.994764
PK-2026460,08/03/2022 08:50:00 PM,Karachi,Korangi,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE-COMMERCIAL,False,False,2022,24.905541,67.013171
PK-2026461,03/28/2021 12:00:00 AM,Rawalpindi,Peshawar Road,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,2021,33.62319,73.018782
PK-2026462,10/06/2022 12:00:00 AM,Peshawar,University Town,ROBBERY,STRONGARM - NO WEAPON,ALLEY,False,False,2022,34.047293,71.575227
PK-2026463,03/02/2021 04:25:00 PM,Rawalpindi,Westridge,BATTERY,SIMPLE,ALLEY,False,False,2021,33.555232,73.016536
PK-2026464,01/15/2023 06:00:00 PM,Quetta,Jinnah Town,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,2023,30.170363,67.034059
PK-2026465,12/21/2021 09:00:00 AM,Lahore,Defence (DHA),THEFT,FROM BUILDING,RESTAURANT,False,False,2021,31.57821,74.385771
PK-2026466,04/16/2025 05:30:00 PM,Lahore,Shalimar,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,2025,31.518353,74.308621
PK-2026467,11/03/2020 03:40:00 PM,Multan,Model Town,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,2020,30.110757,71.576571
PK-2026468,01/31/2023 08:55:00 AM,Karachi,Nazimabad,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2023,24.843255,66.955064
PK-2026469,07/23/2023 12:00:00 AM,Quetta,Jinnah Town,THEFT,$500 AND UNDER,RESIDENCE,False,True,2023,30.154269,67.013094
PK-2026470,11/02/2021 01:25:00 AM,Karachi,Landhi,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,False,False,2021,24.836257,66.986775
PK-2026471,11/26/2025 11:30:00 AM,Quetta,Sariab Road,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,2025,30.147833,67.020357
PK-2026472,06/20/2021 03:00:00 PM,Karachi,Landhi,DECEPTIVE PRACTICE,BOGUS CHECK,BANK,False,False,2021,24.805751,67.045267
PK-2026473,10/28/2021 09:00:00 AM,Multan,Gulgasht Colony,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,2021,30.099645,71.561611
PK-2026474,10/10/2025 02:40:00 AM,Islamabad,Sector G-10,CRIMINAL TRESPASS,TO LAND,RESIDENCE-GARAGE,True,False,2025,33.742927,73.082704
PK-2026475,05/18/2023 06:15:00 PM,Gujranwala,Peoples Colony,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,PARKING LOT/GARAGE(NON.RESID.),False,False,2023,32.179033,74.171061
PK-2026476,03/10/2024 10:13:20 PM,Karachi,Clifton,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,ALLEY,True,False,2024,24.846819,66.95081
PK-2026477,08/14/2023 10:14:57 PM,Islamabad,G-9,BATTERY,SIMPLE,RESIDENCE,False,True,2023,33.705958,73.036258
PK-2026478,11/25/2022 02:30:00 AM,Quetta,Jinnah Town,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2022,30.14599,66.935823
PK-2026479,04/03/2023 07:00:00 PM,Islamabad,Sector G-10,THEFT,OVER $500,STREET,False,False,2023,33.738395,73.071294
PK-2026480,01/03/2021 06:24:00 PM,Rawalpindi,Raja Bazaar,ASSAULT,SIMPLE,RESTAURANT,False,False,2021,33.599461,72.998432
PK-2026481,05/29/2022 11:02:37 AM,Peshawar,Hayatabad,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,True,False,2022,33.965829,71.581973
PK-2026482,04/23/2022 04:30:00 PM,Lahore,Defence (DHA),BATTERY,SIMPLE,"SCHOOL, PUBLIC, GROUNDS",True,False,2022,31.53981,74.360517
PK-2026483,08/02/2020 08:01:00 AM,Rawalpindi,Westridge,ASSAULT,SIMPLE,RESIDENCE,False,True,2020,33.610594,73.055598
PK-2026484,08/18/2025 02:51:50 PM,Rawalpindi,Chaklala,NARCOTICS,POSS: CRACK,CHA PARKING LOT/GROUNDS,True,False,2025,33.618468,72.972803
PK-2026485,12/08/2022 07:00:00 AM,Hyderabad,Qasimabad,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,2022,25.392088,68.401242
PK-2026486,09/10/2020 07:30:00 PM,Karachi,Clifton,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,2020,24.874309,67.051831
PK-2026487,09/14/2022 01:10:00 PM,Lahore,Model Town,ROBBERY,STRONGARM - NO WEAPON,ALLEY,False,False,2022,31.509744,74.342047
PK-2026488,10/02/2024 11:55:00 PM,Quetta,Cantt,BATTERY,SIMPLE,ALLEY,False,False,2024,30.23874,66.98775
PK-2026489,07/31/2023 07:30:00 PM,Multan,Gulgasht Colony,THEFT,OVER $500,DEPARTMENT STORE,True,False,2023,30.125301,71.556677
PK-2026490,02/15/2023 10:00:00 PM,Lahore,Samanabad,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,PARKING LOT/GARAGE(NON.RESID.),False,True,2023,31.602828,74.304581
PK-2026491,09/29/2025 03:00:09 AM,Rawalpindi,Satellite Town,BATTERY,SIMPLE,RESIDENCE,False,True,2025,33.583058,73.017208
PK-2026492,06/15/2020 10:00:00 PM,Lahore,Samanabad,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,False,False,2020,31.562628,74.33144
PK-2026493,05/17/2023 11:10:00 PM,Karachi,Defence (DHA),NARCOTICS,POSS: PCP,ALLEY,True,False,2023,24.862223,66.958665
PK-2026494,02/09/2022 09:00:00 PM,Lahore,Faisal Town,NARCOTICS,POSS: CRACK,SIDEWALK,True,False,2022,31.51738,74.327704
PK-2026495,12/19/2024 08:00:00 AM,Lahore,Defence (DHA),MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2024,31.510883,74.291781
PK-2026496,06/02/2024 11:00:00 PM,Rawalpindi,Peshawar Road,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),False,True,2024,33.531558,72.959997
PK-2026497,01/14/2022 10:35:00 PM,Karachi,Landhi,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,True,True,2022,24.823073,66.95732
PK-2026498,01/08/2024 08:00:00 AM,Gujranwala,Peoples Colony,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",True,False,2024,32.22125,74.250074
PK-2026499,12/11/2020 03:00:00 AM,Gujranwala,Satellite Town,CRIMINAL DAMAGE,TO PROPERTY,STREET,False,False,2020,32.169715,74.200444
PK-2026500,12/08/2020 09:29:50 PM,Peshawar,Gulbahar,BATTERY,SIMPLE,STREET,True,True,2020,33.962041,71.580799
PK-2026501,01/23/2021 11:00:00 PM,Islamabad,F-8,CRIMINAL TRESPASS,TO LAND,OTHER,True,False,2021,33.740692,73.0398
PK-2026502,09/10/2020 09:00:00 AM,Lahore,Gulberg,BATTERY,DOMESTIC BATTERY SIMPLE,PARK PROPERTY,False,True,2020,31.595754,74.321018
PK-2026503,04/25/2020 08:00:00 AM,Faisalabad,Jaranwala Road,BATTERY,SIMPLE,STREET,True,True,2020,31.50173,73.135737
PK-2026504,01/05/2022 08:00:00 AM,Peshawar,Cantt,ASSAULT,SIMPLE,RESIDENCE,False,True,2022,34.074489,71.517641
PK-2026505,01/06/2022 11:20:00 AM,Karachi,Clifton,THEFT,$500 AND UNDER,DEPARTMENT STORE,True,False,2022,24.821567,66.95378
PK-2026506,11/11/2020 02:07:00 PM,Hyderabad,Cantt,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,2020,25.383549,68.374699
